PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
1626153,Delon Wright,Delon,1610612748,MIA,31.0,1,0,1,0.0,16.008333333333333,0,3,0.0,0,1,0.0,0,0,0.0,1,2,3,3,0,0,0,0,0,1,0,-6,8.1,0,0,6.0,1,46,46,46,59,75,62,75,52,55,52,36,41,36,19,48,42,26,50,40,25,1,1,34,75,65,65,11,3,67
1641726,Dereck Lively II,Dereck,1610612742,DAL,20.0,1,1,0,1.0,21.966666666666665,2,5,0.4,0,0,0.0,0,0,0.0,0,7,7,1,0,1,2,2,1,0,4,10,22.9,0,0,18.0,1,1,1,1,48,50,44,49,52,71,52,36,41,36,43,12,13,46,50,12,3,86,31,54,61,15,35,11,3,39
1627884,Derrick Jones Jr.,Derrick,1610612742,DAL,27.0,1,1,0,1.0,21.233333333333334,2,5,0.4,2,4,0.5,2,2,1.0,0,3,3,3,0,1,1,0,0,4,8,25,22.1,0,0,20.0,1,1,1,1,51,50,44,49,17,26,16,17,21,1,43,37,42,26,50,12,8,1,1,9,41,2,37,11,3,36
1627734,Domantas Sabonis,Domantas,1610612758,SAC,27.0,1,0,1,0.0,31.291666666666668,3,10,0.3,0,1,0.0,6,8,0.75,1,10,11,9,4,0,2,1,1,7,12,-27,40.7,1,0,36.0,1,46,46,46,28,38,32,67,52,55,52,4,3,23,19,5,7,5,3,40,3,66,31,1,30,90,11,1,3,17
203110,Draymond Green,Draymond,1610612744,GSW,34.0,1,1,0,1.0,27.725,2,5,0.4,0,1,0.0,0,0,0.0,0,9,9,8,1,2,0,1,5,0,4,9,31.8,0,0,25.0,1,1,1,1,39,50,44,49,52,55,52,36,41,36,43,9,9,7,20,2,25,66,88,54,61,18,23,11,3,30
203939,Dwight Powell,Dwight,1610612742,DAL,32.0,1,1,0,1.0,4.183333333333334,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,0,0,5,1.2,0,0,1.0,1,1,1,1,80,75,76,75,52,71,52,36,41,36,43,61,67,65,50,40,25,66,1,54,75,27,83,11,3,82
1627780,Gary Payton II,Gary,1610612744,GSW,31.0,1,1,0,1.0,13.508333333333333,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,2,-3,8.0,0,0,6.0,1,1,1,1,62,63,62,58,52,71,52,36,41,36,43,73,76,65,50,12,8,66,31,54,70,51,66,11,3,67
203507,Giannis Antetokounmpo,Giannis,1610612749,MIL,29.0,1,0,1,0.0,46.416666666666664,14,25,0.56,0,1,0.0,1,6,0.167,8,13,21,11,7,2,3,1,3,6,29,-13,78.7,1,1,71.0,1,46,46,46,5,1,3,26,52,55,52,27,6,35,1,2,2,2,1,2,2,66,68,3,2,81,1,1,1,2
202330,Gordon Hayward,Gordon,1610612760,OKC,34.0,1,1,0,1.0,10.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-19,0.0,0,0,0.0,1,1,1,1,69,75,71,75,52,71,52,36,41,36,43,73,76,65,50,40,25,1,1,54,75,83,86,11,3,86
1630611,Gui Santos,Gui,1610612744,GSW,21.0,1,1,0,1.0,1.5666666666666667,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,5,5,5.0,0,0,6.0,1,1,1,1,85,50,71,1,30,55,1,36,41,36,43,73,76,65,50,40,25,1,1,54,58,27,72,11,3,67
203084,Harrison Barnes,Harrison,1610612758,SAC,31.0,1,0,1,0.0,24.366666666666667,3,10,0.3,1,4,0.25,0,0,0.0,2,3,5,3,0,1,0,0,0,1,7,-10,20.5,0,0,18.0,1,46,46,46,43,38,32,67,30,26,38,36,41,36,7,37,27,26,50,12,25,1,1,34,43,77,40,11,3,39
1629312,Haywood Highsmith,Haywood,1610612748,MIA,27.0,1,0,1,0.0,29.966666666666665,6,7,0.857,3,3,1.0,0,0,0.0,2,4,6,2,0,2,0,0,1,0,15,-1,31.2,0,0,30.0,1,46,46,46,36,24,38,9,12,37,1,36,41,36,7,21,18,34,50,2,25,1,31,54,27,45,26,11,3,23
1630529,Herbert Jones,Herbert,1610612740,NOP,25.0,1,0,1,0.0,30.94,4,12,0.333,2,8,0.25,6,6,1.0,0,2,2,4,2,1,1,0,5,4,16,-21,28.4,0,0,28.0,1,46,46,46,31,31,26,58,17,9,38,4,6,1,43,48,55,20,15,12,8,1,88,9,23,86,29,11,3,28
1630198,Isaiah Joe,Isaiah,1610612760,OKC,24.0,1,1,0,1.0,16.23,2,4,0.5,2,4,0.5,0,0,0.0,0,3,3,2,0,1,0,0,1,2,6,3,15.6,0,0,15.0,1,1,1,1,57,50,53,32,17,26,16,36,41,36,43,37,42,34,50,12,25,1,31,21,49,36,48,11,3,48
201580,JaVale McGee,JaVale,1610612758,SAC,36.0,1,0,1,0.0,5.483333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,-7,2.4,0,0,2.0,1,46,46,46,74,75,76,75,52,71,52,36,41,36,43,48,55,65,50,40,25,1,1,54,75,68,80,11,3,80
1630702,Jaden Hardy,Jaden,1610612742,DAL,21.0,1,1,0,1.0,4.183333333333334,3,4,0.75,1,2,0.5,0,0,0.0,0,0,0,0,1,0,0,0,0,0,7,5,6.0,0,0,8.0,1,1,1,1,80,38,53,11,30,44,16,36,41,36,43,73,76,65,20,40,25,1,1,54,43,27,69,11,3,64
203109,Jae Crowder,Jae,1610612749,MIL,33.0,1,0,1,0.0,18.24,2,4,0.5,1,2,0.5,0,0,0.0,0,2,2,0,0,1,0,0,2,0,5,-8,10.4,0,0,10.0,1,46,46,46,53,50,53,32,30,44,16,36,41,36,43,48,55,65,50,12,25,1,57,54,58,74,59,11,3,60
1631170,Jaime Jaquez Jr.,Jaime,1610612748,MIA,23.0,1,0,1,0.0,25.951666666666668,4,10,0.4,1,4,0.25,3,4,0.75,1,1,2,1,2,0,0,1,2,3,12,-24,13.9,0,0,16.0,1,46,46,46,42,31,32,49,30,26,38,13,12,23,19,61,55,46,15,40,25,66,57,15,30,88,54,11,3,43
1641771,Jalen Slawson,Jalen,1610612758,SAC,24.0,1,0,1,0.0,1.5833333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0.0,1,46,46,46,84,75,85,75,52,71,52,36,41,36,43,73,76,65,50,40,25,1,1,54,75,36,86,11,3,86
1631114,Jalen Williams,Jalen,1610612760,OKC,22.0,1,1,0,1.0,34.11666666666667,9,18,0.5,3,6,0.5,5,5,1.0,1,1,2,5,2,0,1,1,4,3,26,8,36.9,0,0,38.0,1,1,1,1,17,10,11,32,12,15,16,7,10,1,19,61,55,17,15,40,8,66,81,15,9,20,18,11,3,14
1631288,Jamal Cain,Jamal,1610612748,MIA,25.0,1,0,1,0.0,1.5666666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-5,0.0,0,0,0.0,1,46,46,46,85,75,85,75,52,71,52,36,41,36,43,73,76,65,50,40,25,1,1,54,75,58,86,11,3,86
1629637,Jaxson Hayes,Jaxson,1610612747,LAL,23.0,1,1,0,1.0,16.935,1,1,1.0,0,0,0.0,0,1,0.0,1,3,4,0,3,0,0,0,3,2,2,-5,3.8,0,0,6.0,1,1,1,1,56,63,76,1,52,71,52,36,34,36,19,37,35,65,7,40,25,1,68,21,70,58,73,11,3,67
1631119,Jaylin Williams,Jaylin,1610612760,OKC,21.0,1,1,0,1.0,13.516666666666667,1,1,1.0,1,1,1.0,0,0,0.0,0,7,7,2,3,0,0,0,2,0,3,-7,11.4,0,0,13.0,1,1,1,1,61,63,76,1,30,55,1,36,41,36,43,12,13,34,7,40,25,1,57,54,64,68,57,11,3,53
1630526,Jeremiah Robinson-Earl,Jeremiah,1610612740,NOP,23.0,1,0,1,0.0,4.95,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,0,1,0,0,0,0,0,0,7,2.6,0,0,3.0,1,46,46,46,79,75,76,75,52,55,52,36,41,36,43,37,42,65,20,40,25,1,1,54,75,22,77,11,3,75
1629010,Jerome Robinson,Jerome,1610612744,GSW,27.0,1,1,0,1.0,1.5666666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,5,0.0,0,0,0.0,1,1,1,1,85,75,85,75,52,71,52,36,41,36,43,73,76,65,50,40,25,1,31,54,75,27,86,11,3,86
202685,Jonas Valanciunas,Jonas,1610612740,NOP,31.0,1,0,1,0.0,10.5,2,4,0.5,0,1,0.0,2,3,0.667,2,4,6,1,0,0,0,0,0,2,6,-11,14.7,0,0,13.0,1,46,46,46,68,50,53,32,52,55,52,17,17,27,7,21,18,46,50,40,25,1,1,21,49,78,52,11,3,53
1630228,Jonathan Kuminga,Jonathan,1610612744,GSW,21.0,1,1,0,1.0,31.683333333333334,8,13,0.615,0,2,0.0,2,3,0.667,3,4,7,3,1,0,1,0,3,2,18,21,32.9,0,0,30.0,1,1,1,1,26,13,23,18,52,44,52,17,17,27,4,21,13,26,20,40,8,1,68,21,17,5,20,11,3,23
1641722,Jordan Hawkins,Jordan,1610612740,NOP,21.0,1,0,1,0.0,2.8,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,3.0,0,0,4.0,1,46,46,46,83,63,76,1,30,55,1,36,41,36,43,73,76,65,50,40,25,1,1,54,64,43,75,11,3,73
1630631,Jose Alvarado,Jose,1610612740,NOP,25.0,1,0,1,0.0,16.116666666666667,3,7,0.429,2,6,0.333,0,0,0.0,1,2,3,3,0,1,0,0,2,1,8,-5,19.1,0,0,18.0,1,46,46,46,58,38,38,48,17,15,31,36,41,36,19,48,42,26,50,12,25,1,57,34,41,58,41,11,3,39
1630581,Josh Giddey,Josh,1610612760,OKC,21.0,1,1,0,1.0,30.69,10,14,0.714,5,8,0.625,0,0,0.0,1,8,9,4,3,0,0,0,1,0,25,9,38.8,0,0,43.0,1,1,1,1,33,4,20,14,2,9,15,36,41,36,19,11,9,20,7,40,25,1,31,54,10,18,14,11,3,8
1631099,Keegan Murray,Keegan,1610612758,SAC,23.0,1,0,1,0.0,33.43333333333333,6,11,0.545,2,6,0.333,3,4,0.75,1,2,3,1,1,1,0,0,1,2,17,-20,24.1,0,0,25.0,1,46,46,46,19,24,29,29,17,15,31,13,12,23,19,48,42,46,20,12,25,1,31,21,20,85,34,11,3,30
